steps,mean 100 episode reward,episodes,% time spent exploring
2882,1334.0,2,99
4688,1565.0,3,99
5319,1517.3,4,98
7419,1301.0,5,98
8311,1374.0,6,98
10131,1403.7,7,97
10316,1287.4,8,97
11686,1282.2,9,97
12416,1374.4,10,97
13093,1447.3,11,97
14639,1436.1,12,97
15681,1449.8,13,96
16635,1523.8,14,96
17955,1562.4,15,96
18851,1566.6,16,96
19639,1591.6,17,96
20025,1585.6,18,95
21674,1594.9,19,95
24072,1627.8,20,95
24874,1639.7,21,95
25369,1630.1,22,94
25978,1630.0,23,94
29326,1671.7,24,94
29750,1677.6,25,94
31518,1674.2,26,93
32313,1684.5,27,93
33065,1680.6,28,93
33600,1671.0,29,93
34362,1686.3,30,93
35306,1709.3,31,92
35763,1703.5,32,92
37662,1705.1,33,92
38141,1709.5,34,92
40692,1726.4,35,91
41514,1728.3,36,91
42510,1717.0,37,91
43069,1707.8,38,91
44268,1689.3,39,91
44837,1691.9,40,91
45173,1674.6,41,90
46146,1679.0,42,90
46548,1668.3,43,90
46967,1657.7,44,90
48736,1684.5,45,90
49342,1681.3,46,90
50900,1680.4,47,89
52859,1681.8,48,89
53236,1668.0,49,89
54181,1676.3,50,89
55240,1689.0,51,88
56177,1695.2,52,88
57144,1710.4,53,88
57400,1700.9,54,88
58406,1731.0,55,88
58831,1732.1,56,88
59084,1719.4,57,88
60451,1710.9,58,87
60658,1698.5,59,87
61862,1710.9,60,87
63170,1711.6,61,87
63799,1706.5,62,87
64275,1704.1,63,87
65301,1706.3,64,86
66773,1718.0,65,86
67641,1729.0,66,86
68690,1731.9,67,86
69429,1734.4,68,86
69656,1724.6,69,86
69781,1709.3,70,86
70750,1704.7,71,85
71567,1706.1,72,85
72115,1700.8,73,85
73600,1701.0,74,85
75240,1703.7,75,84
75484,1694.2,76,84
75820,1685.1,77,84
78137,1696.8,78,84
78779,1702.5,79,84
80338,1709.6,80,83
81134,1714.1,81,83
81540,1713.3,82,83
83892,1715.2,83,83
84519,1716.2,84,83
84998,1709.1,85,83
85307,1705.7,86,82
85864,1702.3,87,82
86270,1702.9,88,82
86875,1700.7,89,82
88088,1704.6,90,82
88770,1702.6,91,82
88946,1695.1,92,82
89336,1692.1,93,82
89703,1693.4,94,82
90596,1696.7,95,81
91006,1696.0,96,81
92288,1695.7,97,81
93259,1701.3,98,81
93707,1699.9,99,81
94058,1696.4,100,81
94677,1700.9,101,81
95106,1702.3,102,80
95711,1699.8,103,80
97214,1709.1,104,80
97819,1720.9,105,80
98004,1714.7,106,80
98808,1712.3,107,80
99578,1726.0,108,80
100154,1727.0,109,79
100559,1719.7,110,79
101251,1717.8,111,79
102675,1723.3,112,79
103473,1726.7,113,79
104200,1726.1,114,79
104938,1719.9,115,79
105287,1718.6,116,78
105880,1712.6,117,78
106909,1714.7,118,78
107281,1711.3,119,78
109358,1714.6,120,78
109861,1710.8,121,78
110694,1722.5,122,77
111140,1722.0,123,77
111924,1716.5,124,77
113047,1717.0,125,77
113590,1715.9,126,77
114341,1716.7,127,77
115146,1724.4,128,76
115764,1735.1,129,76
116566,1732.1,130,76
117044,1726.4,131,76
117502,1723.5,132,76
117894,1719.7,133,76
118142,1711.7,134,76
118874,1707.3,135,76
119800,1708.4,136,76
120087,1706.9,137,75
120727,1715.0,138,75
121817,1731.6,139,75
122519,1727.0,140,75
123038,1730.6,141,75
123841,1726.5,142,75
124300,1728.9,143,75
124739,1731.3,144,75
125386,1726.0,145,74
125955,1728.9,146,74
126968,1729.3,147,74
127431,1726.2,148,74
128149,1735.1,149,74
128917,1736.0,150,74
129434,1728.4,151,74
129684,1718.3,152,74
130088,1705.0,153,73
130556,1708.8,154,73
130673,1682.5,155,73
131714,1687.8,156,73
132783,1690.4,157,73
133065,1689.6,158,73
133907,1698.8,159,73
134594,1686.2,160,73
134950,1683.0,161,73
135906,1687.7,162,72
136573,1690.1,163,72
137636,1691.4,164,72
138100,1679.0,165,72
138778,1670.7,166,72
139373,1669.7,167,72
139575,1661.5,168,72
141349,1672.1,169,71
141818,1679.9,170,71
142150,1680.6,171,71
143189,1688.6,172,71
143877,1686.4,173,71
144020,1675.8,174,71
144325,1667.2,175,71
145372,1682.9,176,70
145894,1693.0,177,70
146825,1687.1,178,70
147108,1676.0,179,70
147749,1681.3,180,70
148926,1674.7,181,70
149332,1672.3,182,70
149884,1669.2,183,70
150678,1674.6,184,69
151014,1675.6,185,69
151701,1680.8,186,69
153342,1690.2,187,69
153813,1687.1,188,69
154423,1694.9,189,69
155182,1695.7,190,68
155619,1700.1,191,68
156223,1707.6,192,68
156556,1708.2,193,68
157242,1711.6,194,68
157752,1709.8,195,68
158987,1715.0,196,68
159406,1715.0,197,68
160138,1709.8,198,67
160694,1712.0,199,67
160908,1708.7,200,67
161097,1698.0,201,67
162024,1707.0,202,67
162339,1707.5,203,67
163085,1705.8,204,67
163684,1698.6,205,67
164790,1707.1,206,67
165499,1717.8,207,66
165733,1708.9,208,66
167047,1717.8,209,66
168297,1728.0,210,66
169026,1729.0,211,66
169350,1720.4,212,66
169591,1715.4,213,66
170718,1715.7,214,65
171273,1715.2,215,65
172158,1720.0,216,65
173116,1726.4,217,65
173772,1731.3,218,65
174011,1727.3,219,65
174754,1719.8,220,65
175497,1726.5,221,64
176075,1714.1,222,64
176636,1717.8,223,64
176887,1711.6,224,64
177182,1708.8,225,64
177782,1707.8,226,64
178414,1708.6,227,64
179422,1709.5,228,64
179837,1700.3,229,64
180404,1703.3,230,63
181827,1708.4,231,63
182233,1711.8,232,63
183184,1715.9,233,63
183576,1719.8,234,63
184246,1728.0,235,63
185079,1727.7,236,62
185367,1730.5,237,62
185825,1728.7,238,62
186105,1717.5,239,62
187246,1722.2,240,62
188199,1731.4,241,62
190233,1739.2,242,61
190863,1745.2,243,61
192198,1745.2,244,61
192929,1738.6,245,61
193955,1750.8,246,61
194624,1752.0,247,61
195308,1759.0,248,60
195475,1750.8,249,60
195847,1746.1,250,60
196338,1751.8,251,60
196636,1760.0,252,60
196946,1763.4,253,60
197090,1758.1,254,60
197478,1765.1,255,60
198070,1760.0,256,60
198522,1767.3,257,60
199089,1780.6,258,60
199416,1773.1,259,60
200188,1780.1,260,59
200518,1782.7,261,59
201080,1784.4,262,59
201793,1784.5,263,59
202127,1780.4,264,59
202623,1789.0,265,59
202960,1788.4,266,59
204089,1800.8,267,59
204469,1805.5,268,59
205089,1796.1,269,58
205521,1797.3,270,58
205978,1796.8,271,58
206650,1790.1,272,58
206932,1793.0,273,58
207444,1800.7,274,58
207827,1808.0,275,58
208016,1789.0,276,58
208901,1795.8,277,58
209225,1794.0,278,58
209835,1809.0,279,58
211046,1798.4,280,57
211239,1794.8,281,57
211691,1797.0,282,57
212479,1804.4,283,57
213382,1798.2,284,57
214276,1810.1,285,57
214968,1818.6,286,57
215618,1821.1,287,56
216114,1826.2,288,56
216413,1817.8,289,56
216633,1807.0,290,56
217567,1811.9,291,56
219912,1816.8,292,56
220260,1817.7,293,55
220886,1822.8,294,55
221442,1829.3,295,55
221834,1826.3,296,55
222762,1829.6,297,55
223239,1830.6,298,55
223824,1839.6,299,55
224089,1840.2,300,55
224337,1843.8,301,55
224820,1838.8,302,55
225326,1839.6,303,54
225750,1837.0,304,54
226067,1841.6,305,54
