#{"t_start": 1533752759.8845637, "env_id": "SuperMarioBros-v1"}
r,l,t
207,58,6.667285
1311,561,25.710375
219,45,28.191549
823,150,33.171087
810,1301,78.342292
1275,404,92.625046
228,63,95.693377
1400,876,131.585925
932,715,158.136059
2023,461,174.204689
586,128,178.539459
1450,1360,223.889817
838,1145,261.868109
1359,628,282.549764
745,1620,334.310018
1243,348,345.400389
236,36,347.511877
1209,471,362.945229
1205,721,386.20549
123,51,388.31686
857,1047,425.017705
1249,289,435.442473
1241,482,452.415717
149,45,454.013279
776,264,463.403507
1217,327,474.042392
634,156,479.957072
1236,2149,550.770588
1318,670,573.774103
702,131,578.713446
212,50,581.463006
819,158,588.195162
567,112,593.043674
1381,528,616.88981
1346,579,640.927983
128,42,642.31397
593,135,649.194358
1368,603,672.573512
1222,648,698.642587
110,47,700.605771
695,253,711.181262
459,77,714.228833
737,296,725.383358
1315,350,740.338791
1003,341,754.926313
1507,802,787.015815
635,160,796.165956
1936,1168,839.371409
1252,440,859.304239
137,38,861.303875
703,320,875.663288
435,91,879.946184
241,42,883.451642
1139,372,898.850504
241,41,901.963037
1640,1950,1088.547803
239,37,1094.735055
1506,724,1178.895459
852,1104,1311.284063
1684,1600,1503.800007
227,42,1510.263781
1194,562,1575.939263
222,47,1582.478069
1192,1092,1729.402725
926,707,1828.484605
444,87,1841.637371
242,36,1848.691635
788,221,1879.878801
1079,1405,2075.302924
358,80,2086.278784
597,112,2103.490336
2213,402,2163.345294
1359,512,2237.869148
122,58,2245.940211
662,509,2321.687461
1387,545,2398.682522
1306,235,2433.29384
485,84,2445.908063
237,40,2454.522876
411,115,2471.04282
992,381,2531.117123
1445,285,2575.930676
577,105,2593.391086
1231,543,2676.184071
635,161,2701.919849
1214,331,2753.152394
617,117,2772.607121
989,338,2825.276302
620,102,2841.642611
1842,831,2966.401803
945,631,3068.715898
1231,400,3135.591274
228,38,3143.465775
1389,224,3177.999533
1102,465,3250.692867
1253,335,3303.383467
1379,325,3355.3296
139,50,3363.01075
675,568,3454.920611
800,180,3483.984112
1279,417,3551.871125
127,52,3560.253983
637,154,3586.563539
1306,232,3623.356894
611,107,3641.734754
2034,511,3721.92281
606,107,3742.625723
1523,243,3780.822699
241,39,3788.963422
985,319,3838.766961
611,90,3854.952855
1212,200,3884.942712
695,345,3938.80278
1628,497,4015.244065
243,37,4023.514087
841,127,4043.054638
234,40,4051.13664
965,242,4087.186605
243,31,4094.281911
1275,765,4211.355962
712,387,4282.079696
1690,668,4402.138256
597,110,4426.100742
1375,693,4550.808301
604,109,4572.657923
451,80,4586.704306
232,35,4594.447722
830,218,4632.890717
228,46,4645.173465
1038,204,4682.464138
223,41,4692.823246
2313,538,4794.686976
812,157,4826.00358
1227,327,4885.077252
1102,310,4945.159489
1689,558,5047.135671
1033,186,5080.27797
984,190,5113.909707
1005,368,5179.335754
2045,449,5259.323645
1264,463,5343.64158
650,105,5362.699925
613,112,5385.644485
455,80,5399.656123
771,361,5467.359389
