#{"env_id": "SuperMarioBros-v1", "t_start": 1534094510.9010453}
r,l,t
197,58,4.740736
390,123,7.630154
224,34,8.99236
977,355,17.415591
231,32,18.781468
2256,1550,53.411198
612,72,55.717915
1713,799,73.92435
605,139,77.789109
1179,1071,101.694498
763,311,109.352077
807,139,112.518333
1278,281,119.410813
144,39,120.409094
617,205,125.771307
1504,1735,165.348306
625,162,169.55639
1664,692,185.258899
565,216,191.02393
1216,333,198.599511
235,32,199.992037
1454,939,221.224016
705,241,227.338459
1469,303,234.376024
238,31,235.739534
1443,696,251.546028
222,38,253.10548
775,244,258.546642
1776,503,270.115435
135,39,271.028911
598,90,273.624466
979,300,280.510683
219,43,282.193076
2244,780,299.477875
212,37,301.10051
1218,363,309.320349
628,147,313.344742
1383,301,320.236477
530,666,335.644909
1484,492,346.808625
236,36,348.359408
1316,354,356.357709
1258,419,366.344031
588,98,368.489215
1080,371,378.373877
1236,233,383.767587
591,62,385.820132
966,209,390.577155
616,129,394.21551
1517,498,406.613873
1302,302,414.075631
140,41,414.977183
595,109,418.125052
2056,647,432.691164
1098,278,439.913798
439,79,441.711814
732,242,447.685247
1236,335,455.37153
595,82,457.879298
1198,427,467.394989
232,40,468.956925
2115,1543,503.298006
208,42,504.86143
1552,217,509.77186
690,180,514.248747
2240,486,525.186384
1658,303,532.656152
456,86,534.561704
693,204,539.54196
1502,293,545.556814
531,213,550.072723
1049,1991,591.968922
802,160,600.527915
1192,222,611.682665
603,108,617.671499
1260,222,628.513604
772,309,644.507395
1252,209,655.405435
232,35,657.796422
906,346,675.140004
1404,250,688.176092
113,37,690.260246
692,418,712.02243
661,172,720.691767
629,142,728.464917
1402,220,739.717588
235,35,741.994658
1619,477,765.990284
604,105,771.902619
1624,448,795.05268
598,74,799.561483
1198,149,807.387278
1130,163,816.466805
1288,1197,877.646052
610,68,881.839935
1366,337,899.058484
1027,167,908.435575
1239,286,923.207456
216,37,925.867412
1236,246,938.794804
3569,785,982.709038
698,94,987.847579
1019,196,998.728485
815,115,1004.688544
1033,145,1012.718863
1915,340,1030.15089
1002,295,1046.117392
807,138,1053.319773
1107,1282,1119.061984
471,65,1122.579238
802,156,1131.270092
2127,407,1152.415192
1409,228,1165.113428
161,32,1167.027377
599,84,1172.480461
1253,181,1182.227403
601,110,1188.60469
1740,325,1205.545382
631,134,1213.150656
1166,338,1230.377661
