mean 100 episode reward,% time spent exploring,episodes,steps
1515.0,98,2,618
1279.0,98,3,813
1337.0,97,4,1207
1332.2,96,5,1979
1440.0,95,6,2466
1806.5,93,7,3269
1893.4,91,8,4421
1828.4,90,9,5034
1754.8,89,10,5351
1817.4,85,11,7247
1866.7,84,12,7986
1889.1,82,13,8680
1864.7,81,14,9165
1862.1,81,15,9545
1831.5,80,16,10048
1852.2,78,17,10829
1839.7,76,18,11699
1826.3,76,19,12022
1876.3,72,20,14015
1834.4,71,21,14240
1871.4,69,22,15517
1850.4,67,23,16253
1838.7,67,24,16608
1821.5,65,25,17516
1811.0,64,26,17845
1793.3,62,27,18810
1765.2,62,28,19128
1774.9,61,29,19539
1762.9,60,30,19845
1782.4,58,31,20898
1799.1,57,32,21385
1784.5,56,33,22139
1792.0,55,34,22618
1801.7,53,35,23326
1790.6,53,36,23628
1778.2,51,37,24376
1767.6,49,38,25447
1763.7,48,39,25766
1745.5,48,40,25960
1718.7,48,41,26092
1721.8,45,42,27454
1695.3,45,43,27652
1716.2,43,44,28382
1728.6,41,45,29573
1722.2,40,46,29799
1720.4,40,47,30176
1705.7,39,48,30399
1703.5,39,49,30699
1698.0,38,50,31066
1692.3,38,51,31302
1683.4,37,52,31565
1684.3,36,53,32208
1672.7,35,54,32375
1669.6,35,55,32775
1684.9,34,56,33186
1673.7,33,57,33345
1662.3,33,58,33510
1658.9,32,59,33893
1682.6,31,60,34392
1696.0,31,61,34840
1701.5,29,62,35374
1719.4,29,63,35839
1717.7,27,64,36372
1713.3,27,65,36804
1726.0,26,66,37287
1735.4,25,67,37847
1737.4,24,68,38257
1739.0,23,69,38676
1735.7,22,70,39172
1745.9,21,71,39640
1749.1,20,72,40013
1750.7,20,73,40300
1761.5,19,74,40832
1746.8,18,75,40937
1732.4,18,76,41104
1735.3,17,77,41437
1726.6,17,78,41604
1734.7,16,79,42319
1733.6,15,80,42750
1725.2,14,81,42961
1722.1,14,82,43361
1719.5,13,83,43672
1711.3,13,84,43852
1707.8,12,85,44138
1728.1,11,86,44892
1724.4,10,87,45205
1730.6,9,88,45591
1738.4,7,89,46482
1738.4,7,90,46852
1727.0,7,91,46945
1737.9,6,92,47431
1730.4,5,93,47661
1719.6,5,94,47749
1708.9,5,95,47837
1702.7,4,96,48182
1692.3,4,97,48293
1686.7,3,98,48604
1680.3,3,99,48819
1685.9,1,100,49677
1683.6,1,101,50246
1682.8,1,102,50405
1693.8,1,103,50686
1689.6,1,104,51711
1694.9,1,105,52028
1694.6,1,106,52682
1674.1,1,107,53482
1665.1,1,108,53678
1667.5,1,109,54428
1663.1,1,110,54519
1646.4,1,111,54615
1630.0,1,112,54706
1615.9,1,113,54796
1607.4,1,114,54887
1596.3,1,115,54979
1594.4,1,116,55613
1580.0,1,117,55707
1568.4,1,118,56722
1559.1,1,119,56843
1538.0,1,120,56968
1534.3,1,121,57089
1514.8,1,122,57210
1507.4,1,123,57333
1498.2,1,124,57454
1490.6,1,125,57576
1481.7,1,126,57697
1474.8,1,127,57818
1471.2,1,128,57945
1457.3,1,129,58119
1449.7,1,130,58240
1432.9,1,131,58361
1416.5,1,132,58482
1409.9,1,133,58603
1396.2,1,134,58724
1381.6,1,135,58845
1374.2,1,136,58966
1367.4,1,137,59088
1360.2,1,138,59209
1350.7,1,139,59328
1346.8,1,140,59449
1345.9,1,141,61536
1334.1,1,142,61657
1338.6,1,143,61979
1324.0,1,144,62641
1313.7,1,145,62919
1306.4,1,146,63008
1297.2,1,147,63099
1294.0,1,148,63188
1288.2,1,149,63877
1285.7,1,150,64598
1278.7,1,151,64689
