episodes,steps,mean 100 episode reward,% time spent exploring
2,618,1518.0,99
3,813,1280.5,99
4,1443,1438.7,98
5,2320,1460.8,97
6,2572,1450.8,97
7,4076,1476.0,95
8,5972,1481.6,93
9,6215,1420.9,93
10,7198,1433.7,91
11,7751,1437.1,91
12,8393,1485.9,90
13,9958,1473.2,88
14,10316,1489.8,88
15,10516,1456.6,88
16,11185,1433.4,87
17,12602,1499.9,85
18,12985,1497.6,85
19,13639,1508.8,84
20,14234,1502.4,83
21,14371,1460.5,83
22,15045,1465.1,83
23,15166,1429.1,82
24,15661,1447.3,82
25,16320,1479.7,81
26,16742,1494.2,81
27,17454,1534.8,80
28,18183,1532.7,79
29,18917,1542.0,78
30,20097,1550.8,77
31,20318,1532.3,77
32,21086,1534.6,76
33,21957,1547.1,75
34,22776,1574.6,74
35,22985,1559.1,74
36,23338,1566.9,73
37,25496,1584.1,71
38,25659,1558.3,71
39,26615,1562.2,70
40,26915,1549.8,69
41,28263,1584.6,68
42,28494,1570.1,67
43,29243,1566.5,67
44,29504,1554.1,66
45,30962,1584.7,65
46,31639,1575.3,64
47,32418,1581.9,63
48,33083,1604.2,62
49,33804,1635.9,61
50,34032,1624.8,61
51,35595,1642.8,59
52,35846,1638.5,59
53,36116,1635.3,59
54,37548,1639.7,57
55,37903,1639.6,57
56,38272,1638.0,56
57,38588,1637.3,56
58,38886,1633.6,56
59,39554,1651.4,55
60,40113,1653.4,54
61,40406,1649.8,54
62,40898,1641.3,53
63,41214,1643.9,53
64,41404,1635.0,53
65,41617,1626.9,53
66,42129,1625.8,52
67,42469,1616.8,52
68,42882,1625.9,51
69,43332,1631.0,51
70,43776,1641.7,50
71,44189,1647.7,50
72,44569,1652.0,49
73,44872,1653.8,49
74,45228,1658.5,49
75,45573,1659.0,48
76,45883,1652.2,48
77,46135,1649.7,48
78,46589,1655.0,47
79,46742,1647.2,47
80,47036,1651.8,47
81,47197,1644.6,46
82,47565,1648.5,46
83,47956,1643.5,46
84,48357,1643.1,45
85,48618,1640.6,45
86,49613,1660.8,44
87,49847,1659.9,43
88,50313,1668.1,43
89,50660,1667.6,43
90,51165,1668.5,42
91,51549,1666.0,42
92,51826,1663.3,41
93,52157,1663.3,41
94,52622,1674.2,40
95,53204,1679.5,40
96,53756,1686.8,39
97,53924,1680.8,39
98,54379,1685.3,38
99,54829,1685.1,38
100,55267,1684.9,37
101,56088,1692.3,36
102,56421,1687.2,36
103,56700,1695.2,36
104,57063,1691.7,35
105,57420,1691.5,35
106,57770,1693.1,35
107,57924,1687.7,34
108,58336,1690.8,34
109,58857,1702.2,33
110,59072,1697.2,33
111,59414,1697.0,33
112,59751,1696.8,32
113,60016,1697.7,32
114,60550,1703.3,31
115,61051,1715.4,31
116,61453,1726.7,30
117,62396,1723.7,29
118,62695,1720.7,29
119,63060,1724.2,29
120,63643,1741.9,28
121,63885,1750.0,28
122,64190,1752.3,27
123,64427,1759.7,27
124,64571,1752.1,27
125,64974,1752.6,26
126,65438,1756.9,26
127,66017,1757.4,25
128,66402,1761.8,25
129,66942,1774.7,24
130,67525,1778.3,24
131,68192,1796.3,23
132,68521,1802.4,22
133,68624,1789.9,22
134,68773,1775.9,22
135,68967,1780.0,22
136,69063,1768.7,22
137,69813,1761.4,21
138,70267,1776.0,20
139,70514,1773.3,20
140,70781,1781.4,20
141,71250,1774.8,19
142,71658,1785.2,19
143,71841,1785.6,19
144,72062,1789.9,18
145,72383,1781.2,18
146,72985,1790.4,17
147,73259,1790.8,17
148,73566,1783.2,17
149,73661,1759.0,17
150,74182,1760.0,16
151,74664,1757.0,16
152,74994,1761.4,15
153,75869,1765.5,14
154,76125,1763.3,14
155,76455,1766.6,13
156,76884,1784.3,13
157,77162,1782.7,13
158,77518,1783.8,12
159,77774,1775.6,12
160,78102,1780.8,12
161,78415,1785.1,11
162,78746,1789.2,11
163,79001,1787.8,11
164,79313,1795.4,10
165,79410,1791.3,10
166,79688,1794.5,10
167,79839,1794.8,10
168,80066,1787.7,9
169,80255,1782.6,9
170,80646,1781.9,9
171,80868,1776.2,9
172,81086,1771.1,9
173,81188,1760.2,9
174,81347,1751.1,9
175,81662,1746.6,9
176,81986,1755.2,9
177,82082,1747.6,9
178,82419,1747.4,9
179,82551,1748.2,9
180,82651,1735.1,9
181,82804,1735.2,9
182,83476,1729.9,9
183,83861,1736.5,9
184,84224,1741.8,9
185,84319,1734.6,9
186,84496,1711.7,9
187,84671,1706.6,9
188,85053,1702.4,9
189,85144,1693.5,9
190,85447,1690.4,9
191,85608,1686.8,9
192,85880,1688.3,9
193,86144,1686.7,9
194,86555,1678.4,9
