mean 100 episode reward,steps,% time spent exploring,episodes
1518.0,618,99,2
1280.5,813,99,3
1481.3,2115,97,4
1538.5,3821,95,5
1696.8,5377,93,6
1648.5,5789,93,7
1584.3,6208,93,8
1598.5,7267,91,9
1637.4,9231,89,10
1614.6,9585,89,11
1620.8,10276,88,12
1571.4,10491,88,13
1567.9,11049,87,14
1556.9,11909,86,15
1545.2,12697,85,16
1536.5,14286,83,17
1579.6,15088,83,18
1552.1,15318,82,19
1572.6,17040,80,20
1554.0,17415,80,21
1595.9,19537,78,22
1610.9,20229,77,23
1593.8,20611,76,24
1599.3,21206,76,25
1590.5,21715,75,26
1602.2,22291,74,27
1601.3,22849,74,28
1583.8,23413,73,29
1616.5,24485,72,30
1619.7,25496,71,31
1605.0,25795,70,32
1602.7,26192,70,33
1619.6,26720,69,34
1617.6,27201,69,35
1616.2,27648,68,36
1626.6,28304,68,37
1631.5,28945,67,38
1657.5,30208,66,39
1663.8,30565,65,40
1658.2,31015,65,41
1643.8,31237,64,42
1661.5,31736,64,43
1665.2,32172,63,44
1677.4,32694,63,45
1687.2,33199,62,46
1709.4,34572,61,47
1705.9,34991,60,48
1702.7,35371,60,49
1691.8,35596,59,50
1703.2,36051,59,51
1698.1,36350,59,52
1711.3,36967,58,53
1721.2,37615,57,54
1726.9,38031,57,55
1721.3,38364,56,56
1719.2,38725,56,57
1723.1,39131,55,58
1719.8,39648,55,59
1736.3,40239,54,60
1731.1,40513,54,61
1739.8,41118,53,62
1754.6,41634,53,63
1757.4,42091,52,64
1753.9,42411,52,65
1753.6,42848,51,66
1754.7,43277,51,67
1749.6,43515,51,68
1756.4,44272,50,69
1760.3,44752,49,70
1767.4,45125,49,71
1779.5,45811,48,72
1774.4,46125,48,73
1776.7,46492,47,74
1780.5,47016,47,75
1790.6,47534,46,76
1789.0,47846,46,77
1787.1,48228,45,78
1801.9,48753,45,79
1814.0,49435,44,80
1817.8,49815,43,81
1817.6,50238,43,82
1803.8,50351,43,83
1804.0,50778,42,84
1807.1,51257,42,85
1808.3,51588,41,86
1805.4,51952,41,87
1801.5,52228,41,88
1809.5,53001,40,89
1810.6,53259,40,90
1802.4,53425,39,91
1794.3,53612,39,92
1807.0,54157,39,93
1799.1,54323,38,94
1795.1,54586,38,95
1804.1,55029,38,96
1801.9,55337,37,97
1803.7,55784,37,98
1822.6,56566,36,99
1814.8,56766,36,100
1824.0,57395,35,101
1822.9,57745,35,102
1824.2,58011,34,103
1825.2,58365,34,104
1835.5,58905,33,105
1826.1,59195,33,106
1830.5,59481,33,107
1830.4,59727,32,108
1831.7,60008,32,109
1835.1,60520,31,110
1827.7,60642,31,111
1821.7,60812,31,112
1831.1,61130,31,113
1826.4,61299,31,114
1830.7,61691,30,115
1827.2,61897,30,116
1829.0,62174,30,117
1817.0,62343,29,118
1824.7,62719,29,119
1815.9,62965,29,120
1823.9,63369,28,121
1806.3,63490,28,122
1805.5,63860,28,123
1816.1,64310,27,124
1824.2,64765,27,125
1833.9,65164,26,126
1831.6,65513,26,127
1828.0,65752,26,128
1834.7,66106,25,129
1825.1,66485,25,130
1826.4,66796,24,131
1830.3,67113,24,132
1834.8,67502,24,133
1828.2,67770,23,134
1832.8,68135,23,135
1836.0,68456,22,136
1823.1,68565,22,137
1833.0,69031,22,138
1832.0,69480,21,139
1839.0,69986,21,140
1843.4,70347,20,141
1844.8,70601,20,142
1839.9,70941,20,143
1833.8,71180,19,144
1826.1,71461,19,145
1829.0,71891,19,146
1816.5,72124,18,147
1823.9,72554,18,148
1831.9,73067,17,149
1836.7,73361,17,150
1829.1,73612,17,151
1834.0,73943,16,152
1824.4,74306,16,153
1824.2,74707,15,154
1818.8,74993,15,155
1819.5,75277,15,156
1825.7,75684,14,157
1824.4,75992,14,158
1832.4,76411,14,159
1823.5,76723,13,160
1823.9,76948,13,161
1825.3,77398,12,162
1805.3,77525,12,163
1801.5,77814,12,164
1803.4,78312,11,165
1796.6,78469,11,166
1785.1,78591,11,167
1787.6,79008,11,168
1776.1,79218,10,169
1766.4,79382,10,170
1759.5,79658,10,171
1744.1,79810,10,172
1741.1,79954,10,173
1736.1,80200,9,174
1730.2,80677,9,175
1715.1,81093,9,176
1709.0,81387,9,177
1711.2,81731,9,178
1708.6,82152,9,179
1691.8,82290,9,180
1685.3,82577,9,181
1678.2,82805,9,182
1687.3,83089,9,183
1680.2,83235,9,184
1672.3,83466,9,185
1668.5,83646,9,186
1660.2,83745,9,187
1652.9,85805,9,188
1634.5,85911,9,189
1622.3,86024,9,190
1629.2,87073,9,191
1635.6,87732,9,192
1613.0,87828,9,193
1609.3,87922,9,194
1606.0,88073,9,195
1590.3,88243,9,196
1581.6,88334,9,197
1568.9,88427,9,198
1551.4,88687,9,199
1548.0,88777,9,200
1531.7,88923,9,201
1524.7,89017,9,202
1520.2,89107,9,203
1507.5,89199,9,204
1487.1,89292,9,205
1480.4,89384,9,206
1478.2,89839,9,207
1477.1,89993,9,208
1466.0,90090,9,209
1450.2,90192,9,210
1454.3,90361,9,211
1459.9,90709,9,212
1450.9,90920,9,213
1455.7,91157,9,214
1448.2,91355,9,215
1452.8,91617,9,216
1444.2,91707,9,217
1451.8,92170,9,218
1450.3,92425,9,219
1450.7,92568,9,220
1441.4,92743,9,221
1445.6,92886,9,222
1434.2,92982,9,223
1418.6,93075,9,224
1407.6,93378,9,225
1394.9,93569,9,226
1389.3,93725,9,227
1400.1,94126,9,228
1389.4,94217,9,229
1380.8,94311,9,230
1384.7,94661,9,231
1383.5,94876,9,232
1382.4,95146,9,233
1392.6,95442,9,234
1383.1,95640,9,235
1375.2,95786,9,236
1384.3,96032,9,237
1373.7,96265,9,238
1359.6,96444,9,239
1344.0,96608,9,240
1336.0,96736,9,241
1345.5,96996,9,242
1333.7,97092,9,243
1343.4,97397,9,244
1349.2,97775,9,245
1343.7,98120,9,246
1336.2,98218,9,247
