steps,episodes,mean 100 episode reward,% time spent exploring
618,2,1518.0,99
813,3,1280.5,99
2546,4,1618.3,97
2945,5,1659.8,96
4077,6,1666.8,95
4636,7,1649.7,94
5966,8,1611.0,93
7478,9,1611.6,91
9218,10,1593.0,89
9694,11,1544.3,89
10369,12,1567.1,88
11312,13,1577.3,87
11997,14,1606.5,86
12356,15,1632.1,86
13242,16,1669.0,85
13710,17,1681.6,84
14321,18,1695.9,83
14845,19,1727.2,83
15345,20,1729.0,82
17296,21,1797.7,80
18292,22,1821.4,79
19177,23,1817.6,78
19727,24,1820.9,77
19983,25,1792.3,77
20707,26,1783.4,76
21480,27,1796.9,75
22113,28,1797.7,75
22891,29,1803.5,74
23338,30,1780.6,73
23578,31,1755.2,73
24461,32,1741.8,72
25209,33,1756.4,71
25918,34,1770.3,70
26258,35,1763.4,70
26657,36,1765.2,70
27454,37,1774.1,69
28089,38,1773.2,68
28374,39,1764.7,68
28940,40,1748.8,67
30011,41,1747.7,66
30322,42,1733.2,65
30955,43,1733.1,65
31522,44,1743.4,64
32350,45,1752.6,63
32811,46,1752.7,63
33298,47,1763.8,62
33808,48,1763.9,61
35463,49,1768.6,60
36567,50,1778.3,58
37283,51,1782.6,58
37781,52,1783.6,57
38622,53,1791.4,56
39176,54,1793.9,55
39525,55,1789.6,55
39780,56,1782.9,55
40327,57,1788.5,54
40658,58,1781.8,54
41114,59,1789.3,53
41614,60,1803.7,53
42244,61,1811.8,52
42398,62,1799.9,52
42622,63,1794.0,52
43297,64,1804.1,51
43694,65,1807.0,50
44095,66,1800.8,50
44722,67,1813.2,49
45003,68,1809.8,49
45407,69,1812.3,48
45711,70,1808.9,48
46239,71,1817.6,47
46752,72,1829.5,47
47082,73,1823.8,47
47358,74,1818.1,46
47645,75,1813.1,46
48259,76,1817.0,45
48702,77,1811.7,45
49373,78,1813.4,44
49728,79,1808.6,44
50217,80,1812.5,43
50793,81,1822.0,42
51287,82,1826.0,42
51956,83,1837.1,41
52319,84,1837.2,41
52665,85,1837.5,40
53410,86,1835.6,39
53942,87,1844.6,39
54044,88,1831.3,39
54353,89,1829.0,38
54842,90,1825.6,38
55317,91,1831.9,37
55555,92,1827.7,37
55954,93,1825.2,37
56307,94,1823.1,36
56882,95,1831.7,36
57226,96,1831.8,35
57475,97,1827.8,35
58017,98,1837.2,34
58435,99,1846.9,34
58645,100,1842.9,34
58861,101,1836.1,33
59027,102,1831.4,33
59444,103,1844.4,33
59672,104,1836.1,32
60084,105,1846.1,32
60547,106,1852.9,31
61015,107,1862.1,31
61307,108,1862.5,31
61421,109,1853.2,30
61800,110,1858.9,30
62153,111,1866.6,30
62574,112,1871.2,29
62978,113,1876.0,29
63625,114,1892.4,28
64111,115,1901.2,27
64459,116,1906.3,27
65017,117,1916.7,26
65532,118,1917.8,26
65682,119,1906.0,26
66366,120,1916.0,25
66706,121,1899.4,24
67336,122,1903.1,24
67571,123,1905.5,23
67780,124,1901.9,23
68199,125,1907.8,23
69216,126,1935.7,22
69716,127,1939.5,21
70032,128,1940.6,21
70289,129,1935.5,20
70559,130,1943.5,20
71339,131,1977.0,19
71758,132,1977.5,19
72052,133,1976.5,18
72328,134,1972.4,18
72777,135,1977.7,18
73033,136,1974.4,17
73254,137,1969.1,17
73480,138,1966.7,17
73593,139,1959.1,17
74079,140,1970.6,16
74608,141,1979.3,16
74964,142,1987.5,15
75219,143,1988.8,15
75729,144,1999.0,14
75943,145,1992.4,14
76212,146,1992.8,14
76663,147,1994.0,13
77040,148,1998.1,13
77363,149,2003.8,12
77637,150,2000.2,12
77890,151,1998.5,12
78062,152,1990.6,12
78284,153,1984.1,11
78504,154,1979.9,11
78726,155,1980.2,11
79058,156,1987.6,11
79283,157,1983.0,10
79534,158,1983.9,10
79755,159,1976.8,10
80001,160,1969.2,9
80351,161,1974.6,9
80857,162,2003.0,9
81189,163,2011.1,9
81527,164,2011.3,9
81749,165,2006.3,9
82106,166,2019.2,9
82442,167,2015.6,9
82717,168,2019.8,9
82915,169,2018.0,9
83184,170,2021.9,9
83479,171,2023.9,9
83830,172,2017.9,9
84247,173,2021.4,9
84754,174,2030.2,9
84925,175,2030.1,9
85127,176,2027.0,9
85557,177,2035.0,9
85915,178,2041.4,9
86150,179,2045.0,9
86341,180,2038.1,9
86865,181,2036.8,9
87072,182,2030.0,9
87391,183,2026.3,9
87690,184,2033.5,9
87900,185,2033.0,9
88377,186,2042.6,9
88570,187,2031.5,9
88990,188,2044.2,9
89173,189,2042.4,9
89709,190,2051.7,9
90321,191,2060.1,9
90636,192,2068.0,9
91000,193,2078.6,9
91232,194,2082.1,9
92033,195,2074.5,9
92236,196,2074.2,9
92647,197,2082.9,9
92829,198,2073.5,9
92978,199,2060.0,9
93179,200,2063.7,9
93479,201,2078.3,9
93892,202,2089.8,9
94062,203,2081.0,9
94259,204,2084.6,9
94518,205,2078.9,9
94795,206,2069.7,9
95033,207,2060.2,9
95359,208,2071.1,9
95851,209,2093.6,9
96239,210,2103.7,9
96541,211,2105.8,9
98510,212,2118.7,9
98878,213,2125.0,9
99071,214,2107.0,9
99298,215,2097.4,9
99638,216,2092.0,9
99979,217,2080.9,9
