#{"t_start": 1533580046.1733346, "env_id": "SuperMarioBros-v1"}
r,l,t
1118,2217,103.664037
1357,823,149.786472
1775,615,189.534928
1862,855,241.233654
1055,551,273.101184
2049,914,323.71698
2134,580,355.640365
2387,885,405.566415
1400,603,440.157421
1894,1234,507.081168
661,126,515.083218
2104,890,563.087436
2126,760,604.596465
1830,1019,661.908041
1020,205,675.339584
1733,1653,764.473067
1368,312,782.93923
1983,582,814.554075
1873,871,861.556487
2178,1760,959.618636
1974,1478,1039.719375
3238,2265,1159.265429
1013,226,1172.935961
1735,575,1204.574881
1998,686,1244.310071
1312,1057,1301.074474
1389,348,1320.749643
2166,475,1347.494528
1387,434,1371.696683
2315,1003,1426.22996
1920,665,1462.670784
1182,594,1490.729029
2002,659,1521.141613
1145,354,1537.802131
1864,913,1580.110148
995,295,1594.069454
683,118,1600.105747
2035,769,1635.02577
1410,599,1662.197445
2524,1383,1725.275251
1527,781,1761.319077
1655,781,1796.8109
1993,637,1825.941319
2052,1169,1879.383641
1756,2108,1976.071083
1398,422,1995.290955
1600,567,2020.920066
1449,460,2042.153459
1487,582,2069.046371
1801,518,2092.758332
2058,924,2134.65944
2490,1468,2200.673074
1456,257,2212.603335
1918,699,2244.835811
1458,333,2259.832687
1796,567,2285.400576
1801,666,2313.386401
1619,644,2336.514332
2881,928,2369.183364
1852,1072,2406.804427
2016,539,2426.19335
1218,478,2444.597438
1189,362,2457.847695
1154,649,2480.905294
1056,275,2491.120788
1861,709,2516.651675
1372,580,2538.935677
2253,560,2565.337943
1515,397,2583.975605
1801,529,2609.079746
1381,567,2635.943506
1419,337,2651.975927
1608,331,2668.165034
2186,738,2703.077691
1461,280,2716.533557
698,110,2722.275818
2283,901,2763.808987
1075,193,2773.15441
1476,226,2784.35889
1491,362,2801.538315
2004,411,2821.19294
1862,347,2837.802464
1408,272,2851.259911
1098,165,2859.66895
1455,219,2869.987692
2516,335,2886.128695
2293,449,2907.773933
2124,348,2923.84751
2159,456,2945.46445
1869,283,2958.782961
2011,247,2970.628095
1494,203,2980.881764
1079,143,2988.340969
2313,359,3005.242756
2090,298,3019.938675
1643,305,3034.502516
1873,239,3046.082124
1628,271,3057.17052
2363,446,3074.497618
1255,247,3084.286036
2005,313,3096.114306
679,145,3102.334812
1628,359,3117.306011
1507,179,3124.80526
724,84,3128.557405
1677,379,3142.478127
1808,253,3153.330009
1058,163,3160.433069
1992,392,3174.822314
1455,467,3193.987437
1078,292,3205.426765
2128,568,3226.812937
1719,314,3239.518224
1109,142,3245.375349
1868,443,3263.130226
2425,468,3281.453184
2351,340,3294.275137
3097,521,3314.059482
1497,238,3324.340774
1410,365,3338.016824
2403,711,3364.929844
1021,179,3372.75327
2090,712,3401.66285
1035,177,3409.613141
1566,613,3434.852889
2155,381,3450.385753
1868,417,3467.150215
2178,675,3494.938155
1177,299,3507.893066
1048,222,3517.452208
835,275,3529.250875
1789,361,3544.565275
1784,563,3567.701629
2751,751,3599.380917
1414,406,3618.270596
1190,327,3633.818844
2274,376,3652.354337
1854,349,3668.179111
1742,560,3693.483435
2932,1350,3752.541046
2258,424,3768.875832
1957,814,3800.822702
2356,661,3828.395966
2286,443,3847.150059
1094,158,3854.391191
1422,242,3865.238058
2632,655,3892.128287
1587,411,3909.43538
1436,221,3919.06833
1967,458,3938.044362
2433,531,3960.682252
1771,337,3975.04348
1811,636,3998.229368
2239,378,4012.579097
2195,450,4030.30951
2213,445,4048.375389
1492,238,4058.030649
1480,221,4066.842033
1512,220,4075.439399
1066,166,4082.226287
718,92,4086.207858
1078,138,4091.731684
1509,241,4101.053296
712,96,4105.048501
1617,273,4115.289574
2389,371,4129.006495
1060,187,4136.516975
1039,307,4147.759932
1881,408,4162.540971
1772,464,4180.504341
1449,255,4190.56971
1096,154,4196.723846
1057,264,4206.593617
1500,269,4216.311162
1062,207,4224.334428
1169,224,4232.70134
1929,477,4251.001534
2012,418,4266.068151
1099,172,4272.910691
1210,265,4283.909336
1523,205,4292.548891
2138,346,4305.390772
1882,312,4316.776375
1460,320,4328.635451
2320,374,4342.233868
1860,351,4355.18791
1475,301,4366.088165
1456,272,4376.11036
711,95,4380.103024
1483,254,4389.860209
1082,150,4395.488602
2293,759,4422.669926
1901,258,4432.290698
1394,322,4445.657915
1517,274,4457.554807
2323,365,4472.582733
1059,163,4479.220706
1576,316,4491.729261
2257,515,4511.508208
2202,545,4532.085091
1922,407,4547.6796
