% time spent exploring,episodes,steps,mean 100 episode reward
97,2,2216,1118.0
96,3,3039,1237.5
95,4,3654,1416.7
94,5,4509,1528.0
94,6,5060,1433.4
93,7,5974,1536.0
92,8,6554,1621.4
91,9,7439,1717.1
90,10,8042,1681.9
89,11,9276,1703.1
89,12,9402,1608.4
88,13,10292,1649.7
87,14,11052,1686.3
86,15,12071,1696.6
86,16,12276,1651.5
84,17,13929,1656.6
83,18,14241,1639.6
83,19,14823,1658.7
82,20,15694,1669.9
80,21,17454,1695.4
78,22,18932,1708.6
76,23,21197,1778.1
75,24,21423,1744.9
75,25,21998,1744.5
74,26,22684,1754.6
73,27,23741,1737.6
72,28,24089,1724.7
72,29,24564,1740.4
71,30,24998,1728.2
70,31,26001,1747.8
70,32,26666,1753.4
69,33,27260,1735.5
68,34,27919,1743.6
68,35,28273,1726.0
67,36,29186,1729.9
66,37,29481,1709.5
66,38,29599,1681.8
65,39,30368,1691.1
65,40,30967,1683.8
63,41,32350,1704.8
62,42,33131,1700.5
61,43,33912,1699.4
61,44,34549,1706.3
59,45,35718,1714.1
57,46,37826,1715.0
56,47,38248,1708.2
56,48,38815,1705.9
55,49,39275,1700.5
55,50,39857,1696.1
54,51,40375,1698.2
53,52,41299,1705.3
51,53,42767,1720.4
51,54,43024,1715.4
50,55,43723,1719.1
50,56,44056,1714.4
49,57,44623,1715.9
49,58,45289,1717.4
48,59,45933,1715.7
47,60,46861,1735.4
46,61,47933,1737.4
45,62,48472,1741.9
44,63,48950,1733.5
44,64,49312,1724.8
43,65,49961,1715.9
43,66,50236,1705.8
42,67,50945,1708.1
42,68,51525,1703.1
41,69,52085,1711.2
40,70,52482,1708.3
40,71,53011,1709.7
39,72,53578,1705.0
39,73,53915,1701.1
38,74,54246,1699.8
38,75,54984,1706.4
37,76,55264,1703.1
37,77,55374,1689.9
36,78,56275,1697.6
36,79,56468,1689.6
36,80,56694,1686.9
35,81,57056,1684.4
35,82,57467,1688.4
34,83,57814,1690.5
34,84,58086,1687.1
34,85,58251,1680.1
34,86,58470,1677.4
33,87,58805,1687.2
33,88,59254,1694.1
32,89,59602,1699.0
32,90,60058,1704.2
32,91,60341,1706.0
31,92,60588,1709.4
31,93,60791,1707.0
31,94,60934,1700.3
31,95,61293,1706.8
30,96,61591,1710.8
30,97,61896,1710.1
30,98,62135,1711.8
29,99,62406,1710.9
29,100,62852,1717.5
29,101,63099,1712.9
28,102,63412,1721.8
28,103,63557,1715.0
28,104,63916,1713.5
27,105,64095,1710.0
27,106,64179,1706.7
27,107,64558,1703.0
27,108,64811,1699.7
26,109,64974,1686.4
26,110,65366,1692.3
25,111,65833,1687.9
25,112,66125,1692.1
24,113,66693,1692.3
24,114,67007,1688.3
24,115,67149,1681.1
23,116,67592,1689.5
23,117,68060,1696.5
23,118,68400,1706.3
22,119,68921,1717.4
22,120,69159,1713.7
21,121,69524,1706.0
20,122,70235,1710.3
20,123,70414,1688.1
19,124,71126,1698.9
19,125,71303,1691.9
19,126,71916,1687.6
18,127,72297,1696.0
18,128,72714,1700.8
17,129,73389,1700.9
17,130,73688,1698.8
16,131,73910,1686.1
16,132,74185,1675.3
16,133,74546,1681.4
15,134,75109,1679.2
14,135,75860,1695.2
14,136,76266,1690.7
13,137,76593,1692.7
13,138,76969,1708.6
13,139,77318,1706.8
12,140,77878,1710.1
10,141,79228,1714.2
10,142,79652,1721.5
9,143,80466,1724.5
9,144,81127,1728.1
9,145,81570,1730.5
9,146,81728,1723.9
9,147,81970,1724.1
9,148,82625,1734.4
9,149,83036,1735.8
9,150,83257,1735.3
9,151,83715,1737.0
9,152,84246,1740.7
9,153,84583,1733.5
9,154,85219,1737.1
9,155,85597,1740.3
9,156,86047,1747.6
9,157,86492,1751.8
9,158,86730,1748.7
9,159,86951,1747.3
9,160,87171,1733.6
9,161,87337,1725.8
9,162,87429,1712.8
9,163,87567,1711.4
9,164,87808,1714.6
9,165,87904,1710.2
9,166,88177,1715.8
9,167,88548,1721.1
9,168,88735,1718.0
9,169,89042,1705.8
9,170,89450,1709.5
9,171,89914,1709.2
9,172,90169,1709.9
9,173,90323,1706.6
9,174,90587,1701.1
9,175,90856,1694.3
9,176,91063,1690.3
9,177,91287,1695.0
9,178,91764,1691.4
9,179,92182,1700.8
9,180,92354,1697.0
9,181,92619,1694.2
9,182,92824,1689.4
9,183,93170,1692.2
9,184,93482,1696.9
9,185,93802,1700.5
9,186,94176,1709.2
9,187,94527,1702.6
9,188,94828,1694.4
9,189,95100,1687.8
9,190,95195,1673.3
9,191,95449,1669.4
9,192,95599,1660.1
9,193,96358,1668.1
9,194,96616,1676.4
9,195,96938,1667.2
9,196,97212,1661.4
9,197,97577,1668.2
9,198,97740,1660.1
9,199,98056,1659.6
9,200,98571,1658.5
9,201,99116,1668.0
9,202,99523,1667.2
